Order_ID,Order_Number,Customer_ID,Employee_ID,Shipping_Method_ID,Order_Date,Total_Amount,Order_Status,Is_Active
1,ORD000001,210,93,2,2026-03-02,20847.6,Shipped,1
2,ORD000002,4896,62,3,2025-11-09,306631.64,Delivered,1
3,ORD000003,158,54,1,2026-06-09,114771.03,Delivered,1
4,ORD000004,352,4,3,2026-01-10,13766.76,Delivered,1
5,ORD000005,4999,64,4,2025-11-19,58780.0,Delivered,1
6,ORD000006,533,72,3,2025-07-22,26929.38,Pending,1
7,ORD000007,1407,2,3,2026-02-23,250328.09,Shipped,1
8,ORD000008,2596,42,5,2025-08-05,136063.19,Processing,1
9,ORD000009,4856,7,2,2025-09-18,162889.79,Pending,1
10,ORD000010,3036,33,2,2025-10-09,120716.21,Pending,1
11,ORD000011,1506,32,2,2025-10-09,95452.87,Pending,1
12,ORD000012,3293,87,1,2025-11-20,48194.76,Pending,1
13,ORD000013,1874,55,5,2026-02-10,273240.4,Shipped,1
14,ORD000014,1071,47,2,2025-12-20,209194.2,Shipped,1
15,ORD000015,2452,53,3,2026-05-19,262624.45,Shipped,1
16,ORD000016,4744,89,2,2025-08-05,70064.59,Processing,1
17,ORD000017,3191,56,5,2026-02-06,3760.59,Pending,1
18,ORD000018,4982,96,4,2025-11-20,88280.25,Shipped,1
19,ORD000019,1172,5,1,2026-01-24,131155.69,Pending,1
20,ORD000020,2392,9,4,2026-02-02,403622.3,Pending,1
21,ORD000021,2938,17,3,2026-02-27,198705.71,Delivered,1
22,ORD000022,365,98,5,2026-04-29,257181.64,Processing,1
23,ORD000023,2218,85,2,2026-03-07,315405.23,Shipped,1
24,ORD000024,3432,42,3,2025-08-20,272086.14999999997,Processing,1
25,ORD000025,669,52,5,2026-03-30,103689.54000000001,Pending,1
26,ORD000026,5,89,3,2026-02-13,215645.54,Pending,1
27,ORD000027,364,72,5,2025-07-21,521379.32,Delivered,1
28,ORD000028,242,73,3,2025-11-23,13002.8,Shipped,1
29,ORD000029,768,92,5,2025-08-12,374722.66,Processing,1
30,ORD000030,3267,88,1,2025-11-19,116098.43000000001,Shipped,1
31,ORD000031,2879,46,5,2025-08-14,490152.57,Pending,1
32,ORD000032,805,6,3,2026-02-02,98969.87,Shipped,1
33,ORD000033,3359,8,5,2026-02-01,320956.4,Pending,1
34,ORD000034,1454,27,4,2025-09-30,102719.55,Pending,1
35,ORD000035,47,53,2,2026-04-10,313982.57,Processing,1
36,ORD000036,4841,45,4,2025-11-26,190195.76,Delivered,1
37,ORD000037,4206,39,3,2026-03-08,104055.22,Pending,1
38,ORD000038,3924,15,1,2025-11-17,752977.03,Processing,1
39,ORD000039,4440,73,3,2026-04-10,8150.77,Shipped,1
40,ORD000040,769,44,5,2025-10-09,9732.0,Delivered,1
41,ORD000041,2332,75,5,2026-01-27,1382.99,Pending,1
42,ORD000042,1539,52,2,2026-03-14,100997.31,Pending,1
43,ORD000043,1002,79,5,2025-11-23,36288.32,Pending,1
44,ORD000044,1761,94,1,2026-04-29,134791.16,Delivered,1
45,ORD000045,776,16,4,2025-08-11,107906.70000000001,Pending,1
46,ORD000046,4553,56,4,2026-05-31,26760.36,Shipped,1
47,ORD000047,1359,3,3,2026-02-18,20799.89,Processing,1
48,ORD000048,2147,61,3,2025-10-05,194494.63999999998,Shipped,1
49,ORD000049,3843,79,5,2026-02-03,489735.18000000005,Delivered,1
50,ORD000050,3290,13,2,2025-12-20,4013.0,Processing,1
51,ORD000051,1410,6,4,2026-02-26,6101.92,Shipped,1
52,ORD000052,844,55,5,2026-05-25,1178.88,Shipped,1
53,ORD000053,3235,10,3,2026-05-12,837360.79,Delivered,1
54,ORD000054,1240,1,2,2025-11-29,689224.7,Pending,1
55,ORD000055,1283,97,4,2026-05-06,358332.38,Processing,1
56,ORD000056,492,5,3,2025-12-28,292739.61,Processing,1
57,ORD000057,4854,98,4,2026-01-24,125384.98,Processing,1
58,ORD000058,3184,39,3,2026-02-25,59444.649999999994,Delivered,1
59,ORD000059,343,92,1,2025-08-16,53412.9,Pending,1
60,ORD000060,4874,64,1,2026-01-21,132974.08000000002,Delivered,1
61,ORD000061,42,66,5,2026-03-31,219331.45,Pending,1
62,ORD000062,937,91,3,2025-08-06,92150.15000000001,Pending,1
63,ORD000063,3509,74,5,2026-05-31,75052.83,Shipped,1
64,ORD000064,4949,50,5,2025-11-18,90504.5,Pending,1
65,ORD000065,332,14,5,2025-08-03,129042.05,Delivered,1
66,ORD000066,1930,18,5,2026-01-26,48005.29,Pending,1
67,ORD000067,1511,21,4,2026-06-06,4080.35,Processing,1
68,ORD000068,4509,59,1,2025-10-21,95133.4,Delivered,1
69,ORD000069,2711,27,2,2026-04-16,286689.99,Processing,1
70,ORD000070,1447,24,4,2026-03-30,91053.12,Shipped,1
71,ORD000071,4418,22,1,2026-06-27,3760.59,Pending,1
72,ORD000072,3755,30,1,2025-10-30,84374.51000000001,Delivered,1
73,ORD000073,4011,88,2,2025-11-17,21731.5,Shipped,1
74,ORD000074,57,48,5,2026-01-01,287841.88,Processing,1
75,ORD000075,188,60,2,2025-10-07,609141.4,Pending,1
