Shipment_ID,Shipment_Number,Order_ID,Warehouse_ID,Shipment_Date,Expected_Delivery_Date,Actual_Delivery_Date,Shipment_Status,Tracking_Number
1,SHP000001,1,3,2026-03-03,2026-03-05,,Pending,TRK00000001
2,SHP000002,2,5,2025-11-11,2025-11-12,2025-11-13,Delivered,TRK00000002
3,SHP000003,3,4,2026-06-10,2026-06-15,,In Transit,TRK00000003
4,SHP000004,4,1,2026-01-11,2026-01-12,2026-01-11,Delivered,TRK00000004
5,SHP000005,5,2,2025-11-19,2025-11-26,2025-11-26,Delivered,TRK00000005
6,SHP000006,6,4,2025-07-24,2025-07-25,2025-07-24,Delivered,TRK00000006
7,SHP000007,7,5,2026-02-25,2026-02-26,,Pending,TRK00000007
8,SHP000008,8,4,2025-08-06,2025-08-06,,In Transit,TRK00000008
9,SHP000009,9,3,2025-09-20,2025-09-22,,In Transit,TRK00000009
10,SHP000010,10,3,2025-10-09,2025-10-11,,In Transit,TRK00000010
11,SHP000011,11,4,2025-10-11,2025-10-13,,In Transit,TRK00000011
12,SHP000012,12,2,2025-11-22,2025-11-27,,In Transit,TRK00000012
13,SHP000013,13,4,2026-02-12,2026-02-12,2026-02-15,Delivered,TRK00000013
14,SHP000014,14,5,2025-12-20,2025-12-22,,In Transit,TRK00000014
15,SHP000015,15,1,2026-05-21,2026-05-22,2026-05-25,Delivered,TRK00000015
16,SHP000016,16,5,2025-08-05,2025-08-07,2025-08-06,Delivered,TRK00000016
17,SHP000017,17,3,2026-02-06,2026-02-06,2026-02-05,Delivered,TRK00000017
18,SHP000018,18,3,2025-11-22,2025-11-29,,Pending,TRK00000018
19,SHP000019,19,3,2026-01-26,2026-01-31,2026-02-02,Delivered,TRK00000019
20,SHP000020,20,5,2026-02-02,2026-02-09,,Pending,TRK00000020
21,SHP000021,21,5,2026-02-28,2026-03-01,,Pending,TRK00000021
22,SHP000022,22,3,2026-05-01,2026-05-01,2026-05-02,Delivered,TRK00000022
23,SHP000023,23,5,2026-03-07,2026-03-09,,In Transit,TRK00000023
24,SHP000024,24,1,2025-08-21,2025-08-22,2025-08-22,Delivered,TRK00000024
25,SHP000025,25,3,2026-04-01,2026-04-01,2026-03-31,Delivered,TRK00000025
26,SHP000026,26,1,2026-02-14,2026-02-15,,In Transit,TRK00000026
27,SHP000027,27,1,2025-07-21,2025-07-21,,In Transit,TRK00000027
28,SHP000028,28,4,2025-11-24,2025-11-25,2025-11-28,Delivered,TRK00000028
29,SHP000029,29,2,2025-08-13,2025-08-13,,Pending,TRK00000029
30,SHP000030,30,5,2025-11-21,2025-11-26,,In Transit,TRK00000030
31,SHP000031,31,4,2025-08-15,2025-08-15,,In Transit,TRK00000031
32,SHP000032,32,4,2026-02-03,2026-02-04,2026-02-08,Delivered,TRK00000032
33,SHP000033,33,4,2026-02-02,2026-02-02,,Pending,TRK00000033
34,SHP000034,34,4,2025-10-02,2025-10-09,,In Transit,TRK00000034
35,SHP000035,35,3,2026-04-11,2026-04-13,2026-04-15,Delivered,TRK00000035
36,SHP000036,36,2,2025-11-27,2025-12-04,2025-12-06,Delivered,TRK00000036
37,SHP000037,37,5,2026-03-10,2026-03-11,2026-03-10,Delivered,TRK00000037
38,SHP000038,38,5,2025-11-18,2025-11-23,2025-11-25,Delivered,TRK00000038
39,SHP000039,39,4,2026-04-11,2026-04-12,,In Transit,TRK00000039
40,SHP000040,40,4,2025-10-10,2025-10-10,2025-10-13,Delivered,TRK00000040
41,SHP000041,41,4,2026-01-28,2026-01-28,,In Transit,TRK00000041
42,SHP000042,42,1,2026-03-14,2026-03-16,,In Transit,TRK00000042
43,SHP000043,43,1,2025-11-23,2025-11-23,,Pending,TRK00000043
44,SHP000044,44,5,2026-04-30,2026-05-05,2026-05-09,Delivered,TRK00000044
45,SHP000045,45,2,2025-08-11,2025-08-18,,Pending,TRK00000045
46,SHP000046,46,5,2026-05-31,2026-06-07,2026-06-10,Delivered,TRK00000046
47,SHP000047,47,2,2026-02-20,2026-02-21,,Pending,TRK00000047
48,SHP000048,48,5,2025-10-07,2025-10-08,,Pending,TRK00000048
49,SHP000049,49,1,2026-02-05,2026-02-05,,Pending,TRK00000049
50,SHP000050,50,2,2025-12-22,2025-12-24,,Pending,TRK00000050
51,SHP000051,51,3,2026-02-27,2026-03-06,,Pending,TRK00000051
52,SHP000052,52,2,2026-05-25,2026-05-25,2026-05-29,Delivered,TRK00000052
53,SHP000053,53,3,2026-05-14,2026-05-15,,Pending,TRK00000053
54,SHP000054,54,1,2025-11-29,2025-12-01,2025-11-30,Delivered,TRK00000054
55,SHP000055,55,3,2026-05-08,2026-05-15,,In Transit,TRK00000055
56,SHP000056,56,1,2025-12-30,2025-12-31,,Pending,TRK00000056
57,SHP000057,57,4,2026-01-24,2026-01-31,,Pending,TRK00000057
58,SHP000058,58,4,2026-02-25,2026-02-26,2026-03-02,Delivered,TRK00000058
59,SHP000059,59,4,2025-08-16,2025-08-21,,Pending,TRK00000059
60,SHP000060,60,4,2026-01-21,2026-01-26,2026-01-30,Delivered,TRK00000060
61,SHP000061,61,5,2026-04-01,2026-04-01,,Pending,TRK00000061
62,SHP000062,62,2,2025-08-08,2025-08-09,2025-08-12,Delivered,TRK00000062
63,SHP000063,63,5,2026-06-01,2026-06-01,,In Transit,TRK00000063
64,SHP000064,64,5,2025-11-19,2025-11-19,2025-11-18,Delivered,TRK00000064
65,SHP000065,65,1,2025-08-05,2025-08-05,,Pending,TRK00000065
66,SHP000066,66,1,2026-01-26,2026-01-26,2026-01-27,Delivered,TRK00000066
67,SHP000067,67,3,2026-06-07,2026-06-14,,In Transit,TRK00000067
68,SHP000068,68,3,2025-10-21,2025-10-26,,In Transit,TRK00000068
69,SHP000069,69,4,2026-04-17,2026-04-19,,Pending,TRK00000069
70,SHP000070,70,2,2026-04-01,2026-04-08,2026-04-12,Delivered,TRK00000070
