Discount_ID,Order_ID,Discount_Type,Discount_Value,Discount_Reason,Created_Date
1,34710,New Customer,3609.68,New Customer Applied,2026-07-20
2,2307,Promotional Campaign,3372.89,Promotional Campaign Applied,2026-07-20
3,17543,Seasonal Offer,635.76,Seasonal Offer Applied,2026-07-20
4,11996,Seasonal Offer,267.38,Seasonal Offer Applied,2026-07-20
5,29364,Corporate Discount,15498.02,Corporate Discount Applied,2026-07-20
6,44827,New Customer,22597.71,New Customer Applied,2026-07-20
7,35308,Seasonal Offer,3733.05,Seasonal Offer Applied,2026-07-20
8,9184,Promotional Campaign,20694.22,Promotional Campaign Applied,2026-07-20
9,46372,Festival Offer,14316.67,Festival Offer Applied,2026-07-20
10,47213,Promotional Campaign,648.14,Promotional Campaign Applied,2026-07-20
11,14626,Festival Offer,6775.19,Festival Offer Applied,2026-07-20
12,8558,New Customer,7499.9,New Customer Applied,2026-07-20
13,25281,Seasonal Offer,5052.69,Seasonal Offer Applied,2026-07-20
14,18968,Festival Offer,54642.72,Festival Offer Applied,2026-07-20
15,4347,New Customer,41136.13,New Customer Applied,2026-07-20
16,19273,Festival Offer,72638.1,Festival Offer Applied,2026-07-20
17,16489,Corporate Discount,18984.18,Corporate Discount Applied,2026-07-20
18,33526,Festival Offer,44049.9,Festival Offer Applied,2026-07-20
19,46846,Corporate Discount,12645.46,Corporate Discount Applied,2026-07-20
20,30808,Festival Offer,41119.72,Festival Offer Applied,2026-07-20
21,24612,Festival Offer,3743.03,Festival Offer Applied,2026-07-20
22,3503,Seasonal Offer,108342.84,Seasonal Offer Applied,2026-07-20
23,15784,Seasonal Offer,6211.6,Seasonal Offer Applied,2026-07-20
24,22831,Festival Offer,9418.69,Festival Offer Applied,2026-07-20
25,30537,Promotional Campaign,7238.78,Promotional Campaign Applied,2026-07-20
26,28584,New Customer,88528.93,New Customer Applied,2026-07-20
27,26315,Festival Offer,36844.48,Festival Offer Applied,2026-07-20
28,4034,New Customer,18350.06,New Customer Applied,2026-07-20
29,34179,Promotional Campaign,7475.38,Promotional Campaign Applied,2026-07-20
30,42796,New Customer,3530.76,New Customer Applied,2026-07-20
31,13875,Corporate Discount,4331.78,Corporate Discount Applied,2026-07-20
32,48248,Seasonal Offer,70341.85,Seasonal Offer Applied,2026-07-20
33,44222,Corporate Discount,50135.6,Corporate Discount Applied,2026-07-20
34,31936,New Customer,10005.46,New Customer Applied,2026-07-20
35,21895,Promotional Campaign,38214.63,Promotional Campaign Applied,2026-07-20
36,32063,Seasonal Offer,9130.51,Seasonal Offer Applied,2026-07-20
37,17066,Festival Offer,2494.48,Festival Offer Applied,2026-07-20
38,36849,New Customer,3639.46,New Customer Applied,2026-07-20
39,49654,Promotional Campaign,81495.45,Promotional Campaign Applied,2026-07-20
40,27052,Festival Offer,62393.52,Festival Offer Applied,2026-07-20
41,46689,New Customer,5838.92,New Customer Applied,2026-07-20
42,14351,Promotional Campaign,32593.13,Promotional Campaign Applied,2026-07-20
43,20870,New Customer,32491.94,New Customer Applied,2026-07-20
44,1650,Festival Offer,47280.87,Festival Offer Applied,2026-07-20
45,48529,New Customer,153303.67,New Customer Applied,2026-07-20
46,16255,Festival Offer,42244.55,Festival Offer Applied,2026-07-20
47,28641,Promotional Campaign,6799.47,Promotional Campaign Applied,2026-07-20
48,7754,Corporate Discount,27595.6,Corporate Discount Applied,2026-07-20
49,1192,New Customer,21775.07,New Customer Applied,2026-07-20
50,33435,Promotional Campaign,53821.5,Promotional Campaign Applied,2026-07-20
51,42877,New Customer,26841.2,New Customer Applied,2026-07-20
52,15147,Seasonal Offer,18202.36,Seasonal Offer Applied,2026-07-20
53,6824,Promotional Campaign,80165.19,Promotional Campaign Applied,2026-07-20
54,30510,Corporate Discount,1839.99,Corporate Discount Applied,2026-07-20
55,45481,New Customer,12946.46,New Customer Applied,2026-07-20
56,39951,New Customer,67474.34,New Customer Applied,2026-07-20
57,28296,Festival Offer,6491.27,Festival Offer Applied,2026-07-20
58,8696,Festival Offer,7605.87,Festival Offer Applied,2026-07-20
59,42381,Festival Offer,10720.82,Festival Offer Applied,2026-07-20
60,20227,Festival Offer,14407.88,Festival Offer Applied,2026-07-20
61,12682,Seasonal Offer,21771.35,Seasonal Offer Applied,2026-07-20
62,44711,Promotional Campaign,12886.23,Promotional Campaign Applied,2026-07-20
63,41005,Seasonal Offer,56327.12,Seasonal Offer Applied,2026-07-20
64,10587,Seasonal Offer,11519.29,Seasonal Offer Applied,2026-07-20
65,23852,Festival Offer,19355.9,Festival Offer Applied,2026-07-20
66,33891,Seasonal Offer,10350.03,Seasonal Offer Applied,2026-07-20
67,34471,Seasonal Offer,23425.42,Seasonal Offer Applied,2026-07-20
68,44236,Seasonal Offer,85651.52,Seasonal Offer Applied,2026-07-20
69,10962,New Customer,54953.21,New Customer Applied,2026-07-20
70,20234,Festival Offer,59855.29,Festival Offer Applied,2026-07-20
71,41136,Seasonal Offer,31308.52,Seasonal Offer Applied,2026-07-20
72,21139,Seasonal Offer,27948.22,Seasonal Offer Applied,2026-07-20
73,26873,Seasonal Offer,9606.51,Seasonal Offer Applied,2026-07-20
74,34142,Festival Offer,124615.12,Festival Offer Applied,2026-07-20
75,32254,Corporate Discount,26983.96,Corporate Discount Applied,2026-07-20
76,41789,New Customer,1630.63,New Customer Applied,2026-07-20
77,37524,Corporate Discount,925.44,Corporate Discount Applied,2026-07-20
78,42916,Promotional Campaign,2481.62,Promotional Campaign Applied,2026-07-20
79,19784,Corporate Discount,13759.22,Corporate Discount Applied,2026-07-20
80,12193,New Customer,31554.66,New Customer Applied,2026-07-20
81,28078,New Customer,10557.67,New Customer Applied,2026-07-20
82,31746,New Customer,1089.1,New Customer Applied,2026-07-20
83,17087,Festival Offer,9113.86,Festival Offer Applied,2026-07-20
84,28460,Promotional Campaign,7782.4,Promotional Campaign Applied,2026-07-20
85,24686,Seasonal Offer,45142.19,Seasonal Offer Applied,2026-07-20
86,12599,Corporate Discount,7712.82,Corporate Discount Applied,2026-07-20
87,9550,Corporate Discount,100613.21,Corporate Discount Applied,2026-07-20
88,2136,Corporate Discount,78442.05,Corporate Discount Applied,2026-07-20
89,11174,Promotional Campaign,50019.26,Promotional Campaign Applied,2026-07-20
90,9029,Seasonal Offer,8782.06,Seasonal Offer Applied,2026-07-20
