Return_ID,Return_Number,Order_ID,Return_Date,Return_Reason,Return_Status,Refund_Amount,Created_Date
1,RET000001,45739,2026-05-14,Defective Product,Rejected,0.0,2026-07-13
2,RET000002,13844,2026-01-09,Late Delivery,Rejected,0.0,2026-07-13
3,RET000003,37400,2025-09-21,Defective Product,Approved,351207.83,2026-07-13
4,RET000004,5535,2025-11-13,Defective Product,Rejected,0.0,2026-07-13
5,RET000005,49455,2025-09-06,Damaged Product,Approved,81629.73,2026-07-13
6,RET000006,6171,2026-04-30,Wrong Product Delivered,Rejected,0.0,2026-07-13
7,RET000007,43779,2026-05-22,Late Delivery,Rejected,0.0,2026-07-13
8,RET000008,35089,2025-10-30,Defective Product,Rejected,0.0,2026-07-13
9,RET000009,3895,2026-02-08,Damaged Product,Pending,55204.48,2026-07-13
10,RET000010,31658,2025-12-15,Late Delivery,Rejected,0.0,2026-07-13
11,RET000011,29022,2026-05-23,Late Delivery,Pending,768.9,2026-07-13
12,RET000012,38057,2026-01-18,Late Delivery,Rejected,0.0,2026-07-13
13,RET000013,31503,2025-09-14,Damaged Product,Pending,69883.23,2026-07-13
14,RET000014,25810,2025-12-11,Late Delivery,Rejected,0.0,2026-07-13
15,RET000015,17512,2025-11-25,Wrong Product Delivered,Rejected,0.0,2026-07-13
16,RET000016,39104,2026-06-05,Customer Changed Mind,Approved,6702.94,2026-07-13
17,RET000017,49197,2026-03-05,Late Delivery,Approved,103824.95,2026-07-13
18,RET000018,20307,2026-01-18,Defective Product,Approved,118411.36,2026-07-13
19,RET000019,27990,2026-02-05,Customer Changed Mind,Pending,60310.28,2026-07-13
20,RET000020,30431,2025-10-18,Damaged Product,Rejected,0.0,2026-07-13
21,RET000021,34707,2026-03-31,Late Delivery,Approved,43147.46,2026-07-13
22,RET000022,31314,2025-11-30,Damaged Product,Approved,13738.61,2026-07-13
23,RET000023,35955,2025-07-26,Late Delivery,Pending,244953.92,2026-07-13
